,grnd_PRCP,grnd_TAVG,rean_PRCP,rean_TAVG,assi_PRCP,assi_TAVG
0,6.97979797979798,25.25810810810811,2.558357837512916,22.206367993844253,6.979797979797979,20.133469293785367
1,20.701030927835053,27.98219178082192,9.935629130247058,23.938260758679007,16.738985224591364,22.846908398412893
2,34.97029702970297,30.221621621621615,28.850146675420067,26.014550752164382,27.707260211419086,25.126510668425396
3,63.01,31.54383561643836,85.73636370356573,27.74091251373295,59.233977262697024,26.416668215240065
4,140.27272727272728,30.32465753424658,171.26129078241593,27.086368625674424,134.6433770463455,25.218998378303922
5,125.37755102040816,29.505714285714287,199.8972712798125,26.023641820965395,124.04379104175858,24.38818486180662
6,139.11111111111111,28.928571428571427,188.37008972304852,25.63091252346544,133.19328953943636,23.82826872170989
7,172.9278350515464,28.50416666666667,210.3738995439049,25.431820531045275,168.4094224132758,23.409142668538664
8,242.81,28.069444444444443,265.6836372157795,25.505459695295883,244.38619290665196,22.97927608031779
9,153.4257425742574,27.77808219178083,160.09354622436908,25.185459551993006,146.44214661630988,22.621639733389202
10,30.88659793814433,26.587499999999995,30.320909042270657,23.345459171642005,29.524186011814816,21.36049780454863
11,5.172043010752688,24.74722222222222,0.18914955269741357,21.337276505724788,5.172043010752688,19.539659738728915
